,id_client,amount,total_purchase,recency
0,00006A95660,1,0.0,1339
1,000226822A0,1,0.0,1021
2,00026208A2A,1,39980.0,923
3,00032b5965b,1,4122.5,246
4,00035Ab4AA0,1,0.0,1329
5,00044Abb399,1,0.0,1363
6,00045032A06,1,0.0,36
7,00095592A30,1,0.0,1365
8,000A00000000,1,8720.0,834
9,000AA000686,2,24500.0,106
10,0020323bA96,1,24300.0,401
11,00235026069,1,0.0,1269
12,00235A836b9,1,12250.0,128
13,00256908508,1,3520.0,943
14,0025b46b0b6,1,15750.0,1333
15,0026AA83A92,1,0.0,1191
16,00290332095,1,17900.0,175
17,00292A080A0,1,0.0,951
18,0029A225039,1,0.0,478
19,00342bb6924,2,0.0,407
20,003624000A6,2,43979.0,652
21,0036909b939,4,46599.0,209
22,00389b4A698,1,0.0,478
23,0039324230b,1,30620.0,2081
24,003989A0030,3,54988.0,442
25,003A3489A22,1,22990.0,656
26,003A34bb388,1,0.0,1367
27,003b20589b3,2,4000.0,1836
28,003b2208290,1,0.0,1412
29,003b9Ab30bb,2,4600.0,1211
30,00405696b52,1,24300.0,348
31,00406650896,1,0.0,1101
32,0042505208b,2,23705.0,321
33,0042859bA90,1,1500.0,240
34,00434884A20,2,27475.0,16
35,00435b25530,2,30415.0,354
36,00456262350,1,0.0,1181
37,0045AAb8A06,2,0.0,1959
38,004623bbA2A,1,14320.0,499
39,0046849b854,1,9525.0,149
40,00490304A84,2,35982.0,1352
41,00492489602,4,0.0,376
42,004b9A84208,1,0.0,1377
43,0053b3530b0,1,31496.0,35
44,0054445A082,1,0.0,28
45,00545386888,1,0.0,1091
46,00556568AAb,1,0.0,1332
47,00580385663,1,0.0,814
48,00585853AA8,1,0.0,1221
49,0058b360933,1,39980.0,880
50,00595325A30,1,38000.0,2091
51,005A05A4A9b,1,0.0,1203
52,005b04bbA58,1,6000.0,1018
53,005b6b96905,1,0.0,1015
54,0060254b504,1,35191.2,289
55,0060A666305,2,79800.0,1206
56,0064253b089,2,35010.0,524
57,0064b996626,5,26683.19,870
58,00659966662,1,0.0,1374
59,00662b83255,1,0.0,1138
60,006994A068A,1,0.0,467
61,006b5483A82,1,0.0,1365
62,0080484930b,2,53146.0,522
63,00868288A95,1,5500.0,428
64,008b6b92484,1,27000.0,324
65,00908953046,1,0.0,463
66,0098368bA02,1,0.0,1217
67,009905b6620,1,0.0,818
68,009A0835594,1,14320.0,215
69,009AAA24b80,1,12500.0,1140
70,009b56A4b9b,1,0.0,1079
71,00A04938A6A,1,0.0,1342
72,00A2b4293b9,1,0.0,1374
73,00A33456803,1,0.0,1090
74,00A456A2392,1,0.0,1373
75,00A524006A3,1,26000.0,1205
76,00A549242b0,1,17900.0,981
77,00A86298650,2,21600.0,1666
78,00A89484802,1,0.0,1170
79,00A93b89043,1,0.0,1091
80,00Ab5254036,1,0.0,1084
81,00Ab9623230,1,0.0,1135
82,00b0233330A,2,38900.0,1206
83,00b2443A9bb,2,8419.5,16
84,00b30Ab892b,1,22050.0,37
85,00b50335939,1,0.0,442
86,00b64462989,1,39980.0,880
87,00b6949A502,1,2992.0,1120
88,00b89325306,1,35191.2,187
89,00bA4022098,1,0.0,226
90,00bAbA436b8,1,12500.0,1191
91,00bbb84b3A0,1,0.0,1373
92,0200b3b65A2,1,0.0,1232
93,02033385A08,1,4590.0,1996
94,0204202A598,1,2992.0,1122
95,02046063A4b,1,0.0,1178
96,02052A03AbA,1,39980.0,869
97,0209306b005,1,0.0,30
98,0209695b5b5,1,0.0,474
99,020A09A9Ab3,1,0.0,1372
100,0220b283b20,1,23250.0,99
101,02238384030,2,0.0,1210
102,02242598902,1,0.0,1364
103,02258224A52,1,35982.0,1372
104,0225b499042,1,0.0,1336
105,022625b3A23,2,0.0,344
106,0226b34A026,1,0.0,1294
107,022836534A0,2,0.0,102
108,0229856500b,1,0.0,1336
109,022b03644A4,1,0.0,1343
110,02300590A58,2,36743.619999999995,259
111,02344b58542,1,2992.0,1122
112,0236452b384,2,43882.5,84
113,023664429bA,1,0.0,1090
114,02366A33A62,1,0.0,1171
115,0236A20b00A,1,0.0,1269
116,0239326A052,1,0.0,1294
117,023b3435b64,1,15675.0,1353
118,02403AAbA02,1,0.0,1386
119,0242349A964,1,0.0,1195
120,024422A2609,1,0.0,1350
121,024444A9448,1,0.0,1221
122,02448A653604,5,0.0,1468
123,0244b360908,1,0.0,1195
124,02456654390,2,42916.799999999996,183
125,02468339A26,1,0.0,1365
126,0248450239b,2,42081.0,807
127,02499598603,2,17065.0,210
128,024A288304A,1,0.0,952
129,024A6b25386,1,0.0,1409
130,024b02A6A09,1,28985.0,118
131,02502520908,3,15120.0,541
132,02520536b2A,1,4880.0,1395
133,0253066b5A9,1,0.0,1329
134,02530AbbA80,1,38100.0,2082
135,0253286A584,3,6080.0,327
136,02535620669,3,73616.0,569
137,02543bb2AAA,1,0.0,1332
138,025495b50A6,2,43313.0,30
139,0255b353400,2,0.0,1178
140,02599555582,1,17096.44,1181
141,025A8A64359,1,0.0,941
142,025A9b59A60,1,0.0,1192
143,025b9306200,1,35944.5,659
144,026065609b3,4,43989.0,209
145,02608268A29,1,0.0,1112
146,02624934545,1,2992.0,1121
147,026388090bA,1,0.0,946
148,026524A0A48,1,0.0,1364
149,02656325366,1,35191.2,187
150,0269A36690A,2,0.0,776
151,026A5590448,1,0.0,1351
152,026A594A925,3,0.0,869
153,026A6395A00,1,0.0,1365
154,026A9396A0b,1,0.0,422
155,026b84bb690,1,0.0,1331
156,026bbA58388,1,0.0,1332
157,02806968b63,1,0.0,855
158,02809bAAb63,1,26180.0,264
159,028308bb659,3,0.0,421
160,02833046693,3,0.0,581
161,0283bbb6300,2,33448.8,196
162,028420069b6,1,0.0,1380
163,0284823AA22,2,70455.65,16
164,0288b84A9bA,1,0.0,478
165,028b9004b99,1,0.0,1183
166,028bA263663,1,0.0,1090
167,02906A60695,3,0.0,259
168,02938990880,2,20900.0,197
169,0294603bA93,1,14320.0,1189
170,02963333A02,1,8075.0,448
171,02980359955,1,1500.0,355
172,0298398A4A0,1,41979.0,365
173,02989b096A4,1,0.0,1331
174,0298b25A505,1,2992.0,1122
175,029959b8494,1,0.0,990
176,02998568955,1,0.0,478
177,029A2685958,1,0.0,1343
178,02A2A0b6A58,1,0.0,1365
179,02A48645536,1,2992.0,1122
180,02A495Ab906,1,0.0,1373
181,02A4bAA5b9b,2,67060.0,448
182,02A58039A40,2,0.0,1213
183,02A62663b83,1,4400.0,1210
184,02A65b25Ab8,1,9265.0,926
185,02A83A30393,1,1500.0,544
186,02A83A62A63,1,0.0,455
187,02A8569Ab32,1,6200.0,257
188,02A86699Ab6,2,0.0,82
189,02A934b5903,1,0.0,1112
190,02A988b0983,1,0.0,926
191,02A9A263488,1,0.0,1332
192,02A9A602b9b,2,18870.32,249
193,02A9A853366,1,0.0,1388
194,02Ab294995b,1,0.0,1078
195,02b08bb525A,1,0.0,1135
196,02b286836AA,1,0.0,1162
197,02b325828A6,2,0.0,869
198,02b32b6b603,1,0.0,400
199,02b5338258A,1,0.0,1019
200,02b58340bbA,2,0.0,1682
201,02b5bA6A555,1,2992.0,1122
202,02b69A29bb5,1,0.0,1377
203,02b82920626,1,0.0,947
204,02b85AbA6A6,1,0.0,1342
205,02b893AA625,1,0.0,517
206,02b93592684,1,0.0,1190
207,02bA802863b,1,5500.0,554
208,02bb842A904,1,0.0,477
209,030003A8b4b,1,0.0,1224
210,0300b5bA90A,1,0.0,1373
211,03030A44666,1,0.0,819
212,0304b94b082,1,0.0,440
213,03059bbA56A,1,2992.0,1122
214,03064b9b964,2,35191.2,26
215,0306545b482,1,4160.0,1227
216,0308b04A696,1,0.0,1098
217,03092960998,1,1500.0,358
218,03093644690,1,17900.0,1336
219,030A622A9A8,3,34325.0,694
220,030b085490b,3,147695.0,216
221,032004256A0,1,19855.0,467
222,03203A3A404,1,0.0,1337
223,0320A04AAb3,1,0.0,1365
224,03228430650,1,0.0,909
225,0326A958669,3,21146.71,471
226,03283b83640,2,4365.0,261
227,0329450b60b,1,1500.0,190
228,03298508659,1,0.0,1139
229,032A82b8805,1,0.0,1497
230,032b2844A20,1,0.0,1374
231,032b5369695,1,0.0,1353
232,03322594556,1,0.0,1128
233,03326825528,1,0.0,1349
234,0332A868652,1,0.0,1246
235,03346868060,1,0.0,953
236,0334b5b4958,1,0.0,1370
237,03360009A00,2,41979.0,532
238,0336209bAAA,1,0.0,1191
239,0338b999A5A,1,38100.0,2119
240,033A6930620,1,0.0,484
241,03426096293,1,47147.61,239
242,03428459A80,1,0.0,1360
243,034330820b3,1,0.0,1371
244,03448328642,1,0.0,823
245,034590b965b,2,4050.0,273
246,03462992929,2,0.0,1192
247,03490A05443,1,0.0,1367
248,034A6460A62,1,0.0,421
249,034Abb62626,3,87529.73999999999,1530
250,034b6608A90,1,3960.0,1328
251,0350064b928,1,0.0,414
252,0350b086069,1,0.0,147
253,03550020600,3,43860.0,615
254,03558999304,1,0.0,1379
255,03559b03336,2,0.0,1184
256,03566906603,2,26428.04,859
257,03580425340,1,31984.0,1169
258,03588383980,1,22050.0,91
259,0358bAA4b90,1,0.0,432
260,03590A3A985,2,83602.0,482
261,0359560A645,1,34230.0,467
262,035b8422606,1,0.0,1371
263,0363553A42A,1,0.0,1351
264,036363b56b9,4,0.0,244
265,03644348b23,1,34580.0,2095
266,03646822A39,2,0.0,778
267,03650933608,1,20900.0,1127
268,036833949A9,1,0.0,1084
269,0368502694A,1,39980.0,891
270,036896366bA,1,28720.0,90
271,03693b8660b,1,0.0,460
272,036b65b4656,1,13425.0,798
273,03803420652,1,0.0,1377
274,038202b4693,1,0.0,961
275,03824b8b466,1,0.0,1379
276,038265b86A9,1,0.0,1386
277,0382883b646,1,30807.0,411
278,0382A9886b3,2,17145.6,1920
279,0388A39b8Ab,2,0.0,869
280,03896853996,1,2600.0,1185
281,0389A664A33,1,0.0,1379
282,038A9552499,1,6200.0,210
283,038Ab6344bA,1,26180.0,230
284,038Ab884A50,1,0.0,1342
285,038bbb08609,3,12500.0,1182
286,03900b259A8,1,16110.0,1364
287,039093060A2,2,35191.2,13
288,03933030633,1,0.0,818
289,03946529A60,1,38100.0,2061
290,0394b39b364,1,0.0,1364
291,0394b443650,2,4950.0,163
292,03952654604,2,23895.84,1023
293,039534A2485,2,39980.0,988
294,039535A84b0,1,0.0,1367
295,0398A9639b0,1,0.0,1378
296,039A9b6b454,2,4000.0,1220
297,039AA0354b0,2,2562.0,1220
298,03A003A8692,1,0.0,869
299,03A0065b4b0,2,3200.0,1500
300,03A45b58632,2,0.0,520
301,03A86A96A08,1,0.0,1365
302,03A93898554,1,0.0,1178
303,03AA09A245b,2,46634.0,387
304,03AAb28960b,1,0.0,1125
305,03Ab9430A4A,1,0.0,1329
